Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Демʼянюк,Давид,Юрійович,Чоловіча,1990-06-18,Круп'є,місто Голубівка,"узвіз 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 306, Горохів, 32731",014 133 50 77,terezapylypenko@example.com
Бабійчук,Левко,Юрійович,Чоловіча,1981-05-16,Кур'єр,село Щолкіне,"узвіз Дунайська, буд. 786, Волочиськ, 88377",020 179 24 42,trokhym01@example.com
Лавренко,Онисим,Ярославович,Чоловіча,1998-04-23,Машиніст,місто Ізюм,"провулок Заводська, буд. 815, Бахмач, 72200",810 87 21,anitazatovkaniuk@example.com
Карась,Ганна,Романівна,Жіноча,1997-10-02,Публіцист,село Каховка,"узвіз Жевахова, буд. 91 кв. 944, Олександрія, 27072",+380 (29) 179-26-75,hodunokostap@example.net
Михайлюк,Трохим,Андрійович,Чоловіча,1974-03-02,Астроном,село Вижниця,"вулиця Ползунова 1-й, буд. 89 кв. 290, Лутугине, 45065",+380 50 369-33-45,lmiroshnychenko@example.net
Дурдинець,Гаврило,Іванович,Чоловіча,1942-03-08,Локсмайстер,місто Скадовськ,"сквер Восьмого березня 9-й, буд. 3, Ічня, 81743",691 04 40,sofiiaskoryk@example.net
Данченко,Охрім,Павлович,Чоловіча,1947-06-03,Редактор,хутір Кам'янка-Дніпровська,"проспект Лиманчик 2-й Лінія 9-та, буд. 878 кв. 661, Алушта, 53095",+380 65 945-44-50,fomenkoivan@example.org
Заєць,Вʼячеслав,Володимирович,Чоловіча,1951-09-13,Футболіст,місто Синельникове,"вулиця Лінія 49-та, буд. 739 кв. 66, Бучач, 53189",+380 (49) 230-10-80,nprokopovych@example.org
Верхола,Леонтій,Миколайович,Чоловіча,1981-03-23,Електромонтажник,село Бердянськ,"узвіз Обільна, буд. 81, Соледар, 39103",021 357 49 81,ppiddubnyi@example.com
Микитюк,Борислав,Олександрович,Чоловіча,1980-01-02,Режисер,селище Шахтарськ,"шосе Кипарисний 2-й, буд. 9, Виноградів, 49145",222-55-11,valentyn94@example.org
Малик,Амвросій,Юрійович,Чоловіча,1972-03-17,Агроном,селище Снігурівка,"вулиця Китобійна, буд. 74 кв. 2, Канів, 13906",+380 09 024-22-27,xzhalilo@example.org
Тарасенко,Ярослав,Федорович,Чоловіча,1941-09-15,Редактор,місто Надвірна,"узвіз Генуезька, буд. 711 кв. 444, Тернопіль, 69318",+380 (97) 578-03-51,dsmyk@example.net
Килимник,Лукʼян,Федорович,Чоловіча,1939-03-18,Дерун,село Зіньків,"парк Амурський 1-й, буд. 2, Кривий Ріг, 13083",930-14-48,ksamoilenko@example.com
Засенко,Мартин,Іванович,Чоловіча,2001-06-26,Круп'є,хутір Гірник ,"набережна Лінія 48-ма, буд. 9 кв. 6, Коростишів, 28139",+380 99 179 45 86,ybabenko@example.com
Затула,Руслан,Володимирович,Чоловіча,1978-01-04,Фольклорист,місто Первомайський ,"провулок Леваневського тупик, буд. 3, Сніжне, 61388",025 702-83-67,ihordanko@example.com
Їжак,Лілія,Богданівна,Жіноча,1947-03-21,Флорист,село Старокостянтинів,"узвіз Складська, буд. 92 кв. 784, Суми, 76752",169 01 96,adamenkoiaroslava@example.com
Шеремета,Клавдія,Володимирівна,Жіноча,2003-04-19,Хореограф,село Носівка,"провулок Оранжерейний, буд. 0, Ялта, 37944",+380 80 697-60-98,trokhym62@example.com
Алексеєнко,Орина,Олександрівна,Жіноча,1961-06-29,Драматург,селище Надвірна,"вулиця Тінистий, буд. 586 кв. 3, Заставна, 48101",536 25 30,heorhii15@example.com
Овчаренко,Роман,Миколайович,Чоловіча,1990-04-16,Секретар,селище Бровари,"вулиця Юннатів 3-й, буд. 0 кв. 884, Сорокине, 84623",074 433-09-13,leon94@example.net
Зарудна,Ігор,Романович,Чоловіча,1984-06-30,Антрополог,хутір Покров,"парк Тираспольська, буд. 2, Буськ, 86395",+380 89 815-52-73,opanas66@example.org
Хорішко,Олег,Петрович,Чоловіча,1964-10-12,Актор,село Рубіжне,"узвіз Розумовський 2-й, буд. 2 кв. 19, Лохвиця, 13241",070-47-37,nazarenkoorest@example.com
Шинкаренко,Володимира,Вікторівна,Жіноча,1968-02-19,Паблік рилейшнз,селище Угнів,"проспект Ткачова, буд. 9 кв. 407, Хорол , 95025",+380 (71) 696-49-57,ustym71@example.org
Макогон,Емілія,Іванівна,Жіноча,1991-05-08,Кінорежисер,село Хрестівка,"проспект Трудовий, буд. 7 кв. 152, Брянка, 89115",764 86 53,snizhana55@example.org
Андрощук,Ігор,Григорович,Чоловіча,2004-06-19,Юрист,селище Оріхів,"сквер Промисловий, буд. 9, Чуднів, 05276",+380 (42) 419-95-68,albert04@example.com
Лазаренко,Любов,Сергіївна,Жіноча,1959-11-26,Історик,село Баштанка,"парк Куяльницький міст, буд. 1, Вознесенівка, 82233",+380 27 880-68-87,cfareniuk@example.com
Дашкевич,Іван,Дмитрович,Чоловіча,1988-11-19,Фізик,хутір Яготин,"узвіз Воронезька, буд. 589, Коростишів, 25260",+380 40 303-12-20,arkadii96@example.net
Вдовиченко,Борислав,Олександрович,Чоловіча,1961-05-25,Мірошник,хутір Рожище,"парк Сумський, буд. 9 кв. 068, Докучаєвськ, 38241",+380 (95) 146-72-79,zhadanazar@example.org
Оніщук,Вадим,Андрійович,Чоловіча,1970-02-05,Медик,хутір Тальне,"шосе Дігтярна, буд. 1 кв. 9, Дергачі, 49111",090 947-16-03,korzhzlatoslava@example.net
Габелко,Олена,Романівна,Жіноча,1974-07-02,Кушнір,хутір Березань ,"сквер Авдєєва-Чорноморського, буд. 534, Добромиль, 51935",015 131-61-57,liza14@example.net
Титаренко,Ольга,Петрівна,Жіноча,1940-11-20,Гицель,селище Малин,"проспект Агрономічний, буд. 39 кв. 2, Першотравенськ, 92960",099 066-52-32,mfartushniak@example.org
Артюшенко,Алла,Романівна,Жіноча,2001-01-24,Скульптор,селище Івано-Франківськ,"провулок Аеропортівський 5-й, буд. 836 кв. 6, Буськ, 40658",008 646 72 40,oksanaiakovenko@example.org
Базилевич,Ірина,Павлівна,Жіноча,1961-04-30,Швачка,село Самбір,"набережна Восьмого березня узвіз, буд. 8, Новий Калинів, 47758",+380 89 598-55-07,iaroshlukian@example.com
Масоха,Гордій,Віталійович,Чоловіча,1995-09-02,Конструктор,хутір Бережани,"узвіз Салтикова-Щедріна, буд. 318, Соснівка , 94157",008 194 33 63,deisunievhen@example.org
Ґалаґан,Августин,Васильович,Чоловіча,1954-03-07,Мінералог,місто Бориспіль,"проспект Літній, буд. 4, Судак , 96254",+380 44 232 18 26,jzatula@example.net
Яремко,Павло,Олександрович,Чоловіча,2006-02-27,Євнух,хутір Перевальськ,"провулок Академіка Сахарова, буд. 934 кв. 340, Миронівка, 82999",542-54-91,mariana44@example.org
Швачка,Нестор,Романович,Чоловіча,1943-10-13,Дипломат,селище Сєвєродонецьк,"вулиця Художника Федорова, буд. 3, Привілля, 12747",+380 80 161-33-82,rmazur@example.net
Цюцюра,Камілла,Миколаївна,Жіноча,1958-07-13,Льотчик,хутір Рава-Руська,"парк 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 937, Вільнянськ, 63629",026 269-84-04,mykhailyna21@example.org
Перебийніс,Лариса,Олександрівна,Жіноча,2002-06-04,Провізор,місто Токмак,"набережна Юннатів 3-й, буд. 53, Соледар, 36163",+380 21 087-41-64,qbebeshko@example.com
Алексюк,Олена,Богданівна,Жіноча,2001-10-30,Клавішник,село Золотоноша,"провулок Книжковий, буд. 666, Українка , 55798",078-61-27,lutsenkoserhii@example.com
Талан,Еріка,Миколаївна,Жіноча,1985-09-16,Медик,село Гірник ,"парк Пересипський 1-й, буд. 165 кв. 31, Амвросіївка, 22241",+380 (51) 526-95-15,ptryhub@example.net
Лемешко,Анжела,Леонідівна,Жіноча,1983-12-16,Перекладач,село Турка,"вулиця Селищний, буд. 4, Знам'янка, 77895",655-06-09,halyna59@example.com
Тесля,Зиновій,Юрійович,Чоловіча,1953-11-16,Штукатур,село Голубівка,"шосе Парковий, буд. 934, Южноукраїнськ, 59508",+380 88 819-36-56,pusyk@example.net
Єсипенко,Валентин,Андрійович,Чоловіча,2005-05-05,Педагог,місто Кролевець,"узвіз Юрія Яновського, буд. 8 кв. 1, Кілія, 69445",079 605 60 70,odarka77@example.org
Михайлюк,Мілена,Миколаївна,Жіноча,1960-07-16,Драматург,селище Покров,"шосе Центральна, буд. 78, Хотин, 74928",087 757-51-68,vlokhsviatoslava@example.org
Цимбалюк,Марія,Євгенівна,Жіноча,1974-11-18,Льотчик,хутір Прип'ять ,"сквер Олександра Блока, буд. 741, Федорівка, 10406",+380 71 049-54-82,zhaivoronska@example.com
Гузій,Ярослав,Федорович,Чоловіча,1969-10-18,Шериф,місто Городище ,"сквер Роздольна, буд. 756, Бердянськ, 64795",495-10-62,amvrosii47@example.com
Шевченко,Антон,Дмитрович,Чоловіча,1969-03-31,Менеджер,село Христинівка,"шосе Восьмого Березня Лінія 5-та, буд. 74, Лубни, 78546",735 90 95,larysa02@example.org
Василечко,Ярослава,Віталіївна,Жіноча,1997-02-08,Дипломат,селище Молочанськ,"сквер 6-та Суворовська, буд. 94 кв. 5, Старий Самбір, 42233",002 885-84-78,nievdokymenko@example.com
Гайдай,Вадим,Андрійович,Чоловіча,1972-04-27,Музикознавець,хутір Яготин,"набережна Кладовищний, буд. 121, Ямпіль, 24085",111 94 31,bhydenkopanas@example.net
Міщенко,Юстим,Леонідович,Чоловіча,1996-06-04,Кінорежисер,місто Надвірна,"вулиця Селекційна, буд. 03 кв. 93, Алушта, 87605",796 10 10,amvrosiisirobaba@example.net
Ващенко-Захарченко,Пармен,Богданович,Чоловіча,2006-02-25,Гицель,село Валки ,"провулок Центральна, буд. 59 кв. 94, Перещепине, 13707",020 674-95-21,osvyrydenko@example.net
Тягнибок,Лариса,Юріївна,Жіноча,1959-11-20,Художник,селище Підгайці,"площа Олександра Стурдзи, буд. 43 кв. 843, Сватове, 05997",520 05 61,varvara88@example.org
Валенко,Тарас,Юрійович,Чоловіча,2008-01-30,Краєзнавець,хутір Тульчин,"парк Йосипа Тимченка, буд. 21 кв. 6, Устилуг, 08436",605-52-40,stepankashchenko@example.net
Шовкопляс,Лукʼян,Миколайович,Чоловіча,1945-10-28,Детектив,село Київ,"сквер Леваневського, буд. 99, Арциз, 35766",+380 52 161 81 41,illiafranko@example.org
Самойленко,Феофан,Миколайович,Чоловіча,2005-11-27,Пілот,село Нікополь,"шосе Український 1-й, буд. 8 кв. 6, Городок, 15364",066 450-33-23,varfolomii55@example.com
Гавриленко,Остап,Павлович,Чоловіча,2002-06-26,Промисловець,село Новоукраїнка,"шосе Квітнева, буд. 9 кв. 58, Чуднів, 60323",+380 25 825 30 05,iaroslavilienko@example.net
Бараник,Соломія,Петрівна,Жіноча,1974-03-31,Геофізик,хутір Сторожинець,"узвіз Вчительська, буд. 11, Дунаївці, 54285",037 701 47 00,leontiisuprunenko@example.com
Шеремета,Аарон,Юрійович,Чоловіча,1964-06-20,Музикознавець,селище Моршин,"парк Паркова, буд. 5 кв. 82, Нововолинськ, 45801",061 383 67 07,samoilenkobohuslav@example.org
Гунько,Одарка,Леонідівна,Жіноча,1989-01-04,Економіст,місто Березне,"парк Лиманчик 2-й Лінія 4-та, буд. 24, Умань, 88405",+380 41 448-71-50,orestderhach@example.net
Шутько,Опанас,Ярославович,Чоловіча,1971-04-13,Зоолог,село Попасна,"проспект Високий, буд. 853, Володимир-Волинський, 44026",+380 (65) 666-09-52,bohdanzatovkaniuk@example.org
